ID;Kelas;TP;FP;FN;Precision;Recall;F1;AP
0;orang;7842;2463;2935;0.761;0.7277;0.744;0.6912
1;mobil;157;68;157;0.6978;0.5;0.5826;0.4936
2;motor;1183;528;735;0.6914;0.6168;0.652;0.5762
3;bus;250;82;117;0.753;0.6812;0.7153;0.6066
4;truk;125;33;18;0.7911;0.8741;0.8306;0.8022
5;sepeda;211;53;72;0.7992;0.7456;0.7715;0.714
6;kereta;161;38;29;0.809;0.8474;0.8278;0.805
7;pesawat;185;124;229;0.5987;0.4469;0.5118;0.3924
8;perahu;188;132;236;0.5875;0.4434;0.5054;0.3808
9;lampu lalu lintas;298;140;336;0.6804;0.47;0.556;0.4001
10;hydrant;79;14;22;0.8495;0.7822;0.8144;0.7273
11;tanda berhenti;53;15;22;0.7794;0.7067;0.7413;0.6963
12;meteran parkir;37;16;23;0.6981;0.6167;0.6549;0.5985
13;bangku;154;123;257;0.556;0.3747;0.4477;0.323
14;burung;197;121;230;0.6195;0.4614;0.5289;0.4228
15;kucing;179;45;23;0.7991;0.8861;0.8404;0.787
16;anjing;166;61;52;0.7313;0.7615;0.7461;0.7062
17;kuda;203;48;69;0.8088;0.7463;0.7763;0.6997
18;domba;268;164;86;0.6204;0.7571;0.6819;0.6488
19;sapi;261;94;111;0.7352;0.7016;0.718;0.6793
20;gajah;219;91;33;0.7065;0.869;0.7794;0.7562
21;beruang;62;15;9;0.8052;0.8732;0.8378;0.7996
22;zebra;230;55;36;0.807;0.8647;0.8348;0.8069
23;jerapah;203;42;29;0.8286;0.875;0.8512;0.8092
24;ransel;98;104;273;0.4851;0.2642;0.3421;0.2233
25;payung;253;135;154;0.6521;0.6216;0.6365;0.5697
26;tas tangan;139;134;401;0.5092;0.2574;0.3419;0.2173
27;das;128;58;124;0.6882;0.5079;0.5845;0.4936
28;koper;179;126;120;0.5869;0.5987;0.5927;0.4962
29;frisbee;94;21;21;0.8174;0.8174;0.8174;0.7915
30;ski;100;63;141;0.6135;0.4149;0.495;0.3646
31;papan salju;32;22;37;0.5926;0.4638;0.5203;0.4173
32;bola olahraga;139;56;121;0.7128;0.5346;0.611;0.5212
33;layang-layang;199;118;128;0.6278;0.6086;0.618;0.5512
34;bat baseball;83;63;62;0.5685;0.5724;0.5704;0.4878
35;sarung tangan baseball;91;38;57;0.7054;0.6149;0.657;0.5999
36;skateboard;135;48;44;0.7377;0.7542;0.7459;0.7027
37;papan selancar;154;67;113;0.6968;0.5768;0.6311;0.5187
38;raket tenis;166;57;59;0.7444;0.7378;0.7411;0.7028
39;botol;528;326;485;0.6183;0.5212;0.5656;0.4782
40;gelas anggur;167;83;174;0.668;0.4897;0.5651;0.4296
41;cangkir;503;350;392;0.5897;0.562;0.5755;0.4883
42;garpu;102;61;113;0.6258;0.4744;0.5397;0.4356
43;pisau;90;97;235;0.4813;0.2769;0.3516;0.2214
44;sendok;71;85;182;0.4551;0.2806;0.3472;0.213
45;mangkuk;370;254;253;0.5929;0.5939;0.5934;0.4733
46;pisang;127;106;243;0.5451;0.3432;0.4212;0.2957
47;apel;69;104;167;0.3988;0.2924;0.3374;0.1907
48;roti lapis;92;78;85;0.5412;0.5198;0.5303;0.4473
49;jeruk;115;117;170;0.4957;0.4035;0.4449;0.3261
50;brokoli;121;127;191;0.4879;0.3878;0.4321;0.2673
51;wortel;142;200;223;0.4152;0.389;0.4017;0.2663
52;hot dog;61;43;64;0.5865;0.488;0.5328;0.4293
53;pizza;197;79;87;0.7138;0.6937;0.7036;0.5931
54;donat;182;128;146;0.5871;0.5549;0.5705;0.4609
55;kue;174;113;136;0.6063;0.5613;0.5829;0.4631
56;kursi;796;493;975;0.6175;0.4495;0.5203;0.3959
57;sofa;156;101;105;0.607;0.5977;0.6023;0.4988
58;tanaman pot;156;146;186;0.5166;0.4561;0.4845;0.3619
59;tempat tidur;102;64;61;0.6145;0.6258;0.6201;0.5622
60;meja makan;334;287;361;0.5378;0.4806;0.5076;0.372
61;toilet;143;58;36;0.7114;0.7989;0.7526;0.6971
62;tv;211;101;77;0.6763;0.7326;0.7033;0.6937
63;laptop;177;79;54;0.6914;0.7662;0.7269;0.6965
64;mouse;80;34;26;0.7018;0.7547;0.7273;0.6908
65;remote;125;89;158;0.5841;0.4417;0.503;0.3686
66;keyboard;104;64;49;0.619;0.6797;0.648;0.595
67;ponsel;131;88;131;0.5982;0.5;0.5447;0.4649
68;microwave;39;23;16;0.629;0.7091;0.6667;0.6717
69;oven;80;54;63;0.597;0.5594;0.5776;0.5013
70;pemanggang roti;8;6;1;0.5714;0.8889;0.6957;0.7403
71;wastafel;131;76;94;0.6329;0.5822;0.6065;0.495
72;kulkas;86;30;40;0.7414;0.6825;0.7107;0.6215
73;buku;206;191;923;0.5189;0.1825;0.27;0.1414
74;jam;178;90;89;0.6642;0.6667;0.6654;0.6043
75;vas;150;112;124;0.5725;0.5474;0.5597;0.4652
76;gunting;14;12;22;0.5385;0.3889;0.4516;0.3636
77;boneka teddy;123;50;67;0.711;0.6474;0.6777;0.582
78;pengering rambut;0;1;11;0;0;0;0
79;sikat gigi;22;31;35;0.4151;0.386;0.4;0.2989
;mAP@0.5;;;;;;;0.5168
