📊 Hasil Evaluasi per Kelas:
ID     Kelas           AP      Precision Recall    F1      GT Count 
0      orang           0.6912 0.7610   0.7277   0.7440     10777
1      mobil           0.4936 0.6978   0.5000   0.5826       314
2      motor           0.5762 0.6914   0.6168   0.6520      1918
3      bus             0.6066 0.7530   0.6812   0.7153       367
4      truk            0.8022 0.7911   0.8741   0.8306       143
5      sepeda          0.7140 0.7992   0.7456   0.7715       283
6      kereta          0.8050 0.8090   0.8474   0.8278       190
7      pesawat         0.3924 0.5987   0.4469   0.5118       414
8      perahu          0.3808 0.5875   0.4434   0.5054       424
9      lampu lalu lintas 0.4001 0.6804   0.4700   0.5560       634
10     hydrant         0.7273 0.8495   0.7822   0.8144       101
11     tanda berhenti  0.6963 0.7794   0.7067   0.7413        75
12     meteran parkir  0.5985 0.6981   0.6167   0.6549        60
13     bangku          0.3230 0.5560   0.3747   0.4477       411
14     burung          0.4228 0.6195   0.4614   0.5289       427
15     kucing          0.7870 0.7991   0.8861   0.8404       202
16     anjing          0.7062 0.7313   0.7615   0.7461       218
17     kuda            0.6997 0.8088   0.7463   0.7763       272
18     domba           0.6488 0.6204   0.7571   0.6819       354
19     sapi            0.6793 0.7352   0.7016   0.7180       372
20     gajah           0.7562 0.7065   0.8690   0.7794       252
21     beruang         0.7996 0.8052   0.8732   0.8378        71
22     zebra           0.8069 0.8070   0.8647   0.8348       266
23     jerapah         0.8092 0.8286   0.8750   0.8512       232
24     ransel          0.2233 0.4851   0.2642   0.3421       371
25     payung          0.5697 0.6521   0.6216   0.6365       407
26     tas tangan      0.2173 0.5092   0.2574   0.3419       540
27     das             0.4936 0.6882   0.5079   0.5845       252
28     koper           0.4962 0.5869   0.5987   0.5927       299
29     frisbee         0.7915 0.8174   0.8174   0.8174       115
30     ski             0.3646 0.6135   0.4149   0.4950       241
31     papan salju     0.4173 0.5926   0.4638   0.5203        69
32     bola olahraga   0.5212 0.7128   0.5346   0.6110       260
33     layang-layang   0.5512 0.6278   0.6086   0.6180       327
34     bat baseball    0.4878 0.5685   0.5724   0.5704       145
35     sarung tangan baseball 0.5999 0.7054   0.6149   0.6570       148
36     skateboard      0.7027 0.7377   0.7542   0.7459       179
37     papan selancar  0.5187 0.6968   0.5768   0.6311       267
38     raket tenis     0.7028 0.7444   0.7378   0.7411       225
39     botol           0.4782 0.6183   0.5212   0.5656      1013
40     gelas anggur    0.4296 0.6680   0.4897   0.5651       341
41     cangkir         0.4883 0.5897   0.5620   0.5755       895
42     garpu           0.4356 0.6258   0.4744   0.5397       215
43     pisau           0.2214 0.4813   0.2769   0.3516       325
44     sendok          0.2130 0.4551   0.2806   0.3472       253
45     mangkuk         0.4733 0.5929   0.5939   0.5934       623
46     pisang          0.2957 0.5451   0.3432   0.4212       370
47     apel            0.1907 0.3988   0.2924   0.3374       236
48     roti lapis      0.4473 0.5412   0.5198   0.5303       177
49     jeruk           0.3261 0.4957   0.4035   0.4449       285
50     brokoli         0.2673 0.4879   0.3878   0.4321       312
51     wortel          0.2663 0.4152   0.3890   0.4017       365
52     hot dog         0.4293 0.5865   0.4880   0.5328       125
53     pizza           0.5931 0.7138   0.6937   0.7036       284
54     donat           0.4609 0.5871   0.5549   0.5705       328
55     kue             0.4631 0.6063   0.5613   0.5829       310
56     kursi           0.3959 0.6175   0.4495   0.5203      1771
57     sofa            0.4988 0.6070   0.5977   0.6023       261
58     tanaman pot     0.3619 0.5166   0.4561   0.4845       342
59     tempat tidur    0.5622 0.6145   0.6258   0.6201       163
60     meja makan      0.3720 0.5378   0.4806   0.5076       695
61     toilet          0.6971 0.7114   0.7989   0.7526       179
62     tv              0.6937 0.6763   0.7326   0.7033       288
63     laptop          0.6965 0.6914   0.7662   0.7269       231
64     mouse           0.6908 0.7018   0.7547   0.7273       106
65     remote          0.3686 0.5841   0.4417   0.5030       283
66     keyboard        0.5950 0.6190   0.6797   0.6480       153
67     ponsel          0.4649 0.5982   0.5000   0.5447       262
68     microwave       0.6717 0.6290   0.7091   0.6667        55
69     oven            0.5013 0.5970   0.5594   0.5776       143
70     pemanggang roti 0.7403 0.5714   0.8889   0.6957         9
71     wastafel        0.4950 0.6329   0.5822   0.6065       225
72     kulkas          0.6215 0.7414   0.6825   0.7107       126
73     buku            0.1414 0.5189   0.1825   0.2700      1129
74     jam             0.6043 0.6642   0.6667   0.6654       267
75     vas             0.4652 0.5725   0.5474   0.5597       274
76     gunting         0.3636 0.5385   0.3889   0.4516        36
77     boneka teddy    0.5820 0.7110   0.6474   0.6777       190
78     pengering rambut 0.0000 0.0000   0.0000   0.0000        11
79     sikat gigi      0.2989 0.4151   0.3860   0.4000        57

🔥 mAP@0.5  = 0.5168
📌 mPrecision = 0.6341
📌 mRecall    = 0.5791
📌 mF1 Score  = 0.5997
